('Namespace(act_dropout=0.1, adaptdl=False, adascale=True, attn_dropout=0.0, '
 "batch_size=800, beam_size=4, betas=[0.9, 0.98], data_dir='data/iwslt-2014', "
 'dec_embed_dim=512, dec_ffn_dim=1024, dec_layernorm_before=False, '
 'dec_num_heads=4, dec_num_layers=6, dec_tied_weight=True, '
 "decay_method='inverse_sqrt', decode_method='beam', dropout=0.3, "
 'embed_dropout=0.3, enc_embed_dim=512, enc_ffn_dim=1024, '
 'enc_layernorm_before=False, enc_num_heads=4, enc_num_layers=6, '
 'eval_batch_size=20, fp16=False, gpu=0, gradient_accumulation=2, '
 "init_checkpoint=None, label_smoothing=0.1, lang_src='en', lang_tgt='de', "
 'learning_rate=0.0005, length_normalize=True, lowercase=False, '
 'max_decode_length_base=10, max_decode_length_multiplier=2, max_epochs=60, '
 "max_tokens=4096, min_lr=1e-09, mode='train', optim='adamw', "
 "output_path=None, save_epochs=1, save_path='models/en-de', scale=32, "
 'warmup_steps=10000, weight_decay=0.0001)')
[*] AdaScale is enabled!
======================================================================
Epoch 1 ::: Train

[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.548, ppl: 748.435, time: 14.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.291, time: 14.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.276, time: 15.1s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.184, time: 15.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.068, time: 15.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.718, time: 15.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.737, time: 15.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.518, time: 15.8s
[Iter 1.14/448.0] gain: 1.138, loss: 9.549, nll loss: 9.546, ppl: 747.399, time: 16.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.580, time: 16.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.686, time: 16.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.723, time: 16.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.681, time: 16.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.710, time: 16.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.579, time: 17.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.664, time: 17.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.513, time: 17.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.501, time: 17.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.565, time: 17.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.658, time: 17.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.696, time: 18.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.693, time: 18.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.676, time: 18.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.598, time: 18.5s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.715, time: 18.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.593, time: 18.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.616, time: 19.0s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.612, time: 19.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.499, time: 19.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.531, time: 19.6s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.581, time: 19.7s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.666, time: 19.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.719, time: 20.1s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.762, time: 20.2s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.745, time: 20.4s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.747, time: 20.6s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.634, time: 20.8s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.546, ppl: 747.675, time: 20.9s
[Iter 1.14/448.0] gain: 1.138, loss: 9.550, nll loss: 9.547, ppl: 747.841, time: 21.1s
[Iter 1.14/448.0] gain: 1.138, loss: 9.551, nll loss: 9.547, ppl: 748.168, time: 21.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.551, nll loss: 9.547, ppl: 748.184, time: 21.5s
[Iter 2.27/448.0] gain: 1.129, loss: 9.551, nll loss: 9.547, ppl: 748.142, time: 21.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.551, nll loss: 9.547, ppl: 748.038, time: 21.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 748.017, time: 22.0s
[Iter 2.27/448.0] gain: 1.129, loss: 9.551, nll loss: 9.547, ppl: 748.081, time: 22.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.551, nll loss: 9.547, ppl: 748.073, time: 22.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 748.025, time: 22.5s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 747.918, time: 22.7s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 747.853, time: 22.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 747.928, time: 23.0s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.547, ppl: 747.809, time: 23.2s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.702, time: 23.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.657, time: 23.5s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.691, time: 23.7s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.725, time: 23.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.601, time: 24.0s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.526, time: 24.2s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.498, time: 24.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.493, time: 24.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.550, nll loss: 9.546, ppl: 747.459, time: 24.7s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.443, time: 24.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.432, time: 25.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.389, time: 25.2s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.300, time: 25.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.322, time: 25.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.170, time: 25.7s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.164, time: 25.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.130, time: 26.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.193, time: 26.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.239, time: 26.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.174, time: 26.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.121, time: 26.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.123, time: 27.0s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.098, time: 27.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.164, time: 27.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.062, time: 27.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.091, time: 27.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.005, time: 27.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.009, time: 27.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.052, time: 28.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.129, time: 28.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.094, time: 28.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.126, time: 28.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.180, time: 28.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.289, time: 28.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.279, time: 29.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.407, time: 29.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.438, time: 29.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.376, time: 29.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.546, ppl: 747.324, time: 29.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.267, time: 29.9s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.231, time: 30.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.179, time: 30.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.112, time: 30.4s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.023, time: 30.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 747.052, time: 30.8s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 746.989, time: 31.0s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 746.939, time: 31.1s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 746.918, time: 31.3s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 746.924, time: 31.5s
[Iter 2.27/448.0] gain: 1.129, loss: 9.549, nll loss: 9.545, ppl: 746.928, time: 31.6s
[Iter 2.27/448.0] gain: 1.129, loss: 9.548, nll loss: 9.545, ppl: 746.821, time: 31.8s
